"seq","aou","english_common_name","species_name"
3049,"16320","Dwarf Jay","Cyanolyca nana"
3052,"16310","Black-throated Jay","Cyanolyca pumilo"
3055,"16300","Azure-hooded Jay","Cyanolyca cucullata"
3058,"16230","Black-throated Magpie-Jay","Calocitta colliei"
3061,"16240","White-throated Magpie-Jay","Calocitta formosa"
3064,"04832","Brown Jay","Psilorhinus morio"
3067,"16250","Tufted Jay","Cyanocorax dickeyi"
3070,"04830","Green Jay","Cyanocorax yncas"
3073,"04831","San Blas Jay","Cyanocorax sanblasianus"
3076,"16280","Yucatan Jay","Cyanocorax yucatanicus"
3079,"16290","Purplish-backed Jay","Cyanocorax beecheii"
3082,"04920","Pinyon Jay","Gymnorhinus cyanocephalus"
3085,"04780","Steller's Jay","Cyanocitta stelleri"
3088,"04770","Blue Jay","Cyanocitta cristata"
3091,"04790","Florida Scrub-Jay","Aphelocoma coerulescens"
3094,"04811","Island Scrub-Jay","Aphelocoma insularis"
3097,"04810","Western Scrub-Jay","Aphelocoma californica"
3100,"04821","Transvolcanic Jay","Aphelocoma ultramarina"
3103,"04820","Mexican Jay","Aphelocoma wollweberi"
3106,"16350","Unicolored Jay","Aphelocoma unicolor"
3109,"04910","Clark's Nutcracker","Nucifraga columbiana"
3112,"04750","Black-billed Magpie","Pica hudsonia"
3115,"04760","Yellow-billed Magpie","Pica nuttalli"
3118,"04903","Eurasian Jackdaw","Corvus monedula"
3121,"04880","American Crow","Corvus brachyrhynchos"
3124,"04890","Northwestern Crow","Corvus caurinus"
3127,"16380","White-necked Crow","Corvus leucognaphalus"
3130,"04891","Tamaulipas Crow","Corvus imparatus"
3133,"16351","Sinaloa Crow","Corvus sinaloae"
3136,"04900","Fish Crow","Corvus ossifragus"
3139,"04881","unid. Crow","""Crow"" sp."
3145,"04870","Chihuahuan Raven","Corvus cryptoleucus"
3148,"04860","Common Raven","Corvus corax"
3151,"04865","unid. Raven","""Raven"" sp."
3163,"04730","Sky Lark","Alauda arvensis"
3166,"04740","Horned Lark","Eremophila alpestris"
3169,"06110","Purple Martin","Progne subis"
3172,"06111","Cuban Martin","Progne cryptoleuca"
3175,"06113","Caribbean Martin","Progne dominicensis"
3178,"16160","Sinaloa Martin","Progne sinaloae"
3181,"06112","Gray-breasted Martin","Progne chalybea"
3184,"06114","Southern Martin","Progne elegans"
3187,"06115","Brown-chested Martin","Progne tapera"
3190,"06140","Tree Swallow","Tachycineta bicolor"
3193,"16170","Mangrove Swallow","Tachycineta albilinea"
3196,"06150","Violet-green Swallow","Tachycineta thalassina"
3199,"06151","Bahama Swallow","Tachycineta cyaneoviridis"
3202,"16190","Blue-and-white Swallow","Pygochelidon cyanoleuca"
3205,"16200","Black-capped Swallow","Notiochelidon pileata"
3208,"06170","Northern Rough-winged Swallow","Stelgidopteryx serripennis"
3211,"16220","Southern Rough-winged Swallow","Stelgidopteryx ruficollis"
3214,"06160","Bank Swallow","Riparia riparia"
3217,"06120","Cliff Swallow","Petrochelidon pyrrhonota"
3220,"06121","Cave Swallow","Petrochelidon fulva"
3223,"06122","unid. Cave Swallow / Cliff Swallow","Petrochelidon pyrrhonota / fulva"
3226,"06130","Barn Swallow","Hirundo rustica"
3229,"06152","Common House-Martin","Delichon urbicum"
3232,"07360","Carolina Chickadee","Poecile carolinensis"
3235,"07350","Black-capped Chickadee","Poecile atricapillus"
3238,"07380","Mountain Chickadee","Poecile gambeli"
