"seq","aou","english_common_name","species_name"
4180,"05750","Bachman's Sparrow","Peucaea aestivalis"
4183,"19090","Striped Sparrow","Oriturus superciliosus"
4186,"05590","American Tree Sparrow","Spizella arborea"
4189,"05600","Chipping Sparrow","Spizella passerina"
4192,"05610","Clay-colored Sparrow","Spizella pallida"
4195,"05620","Brewer's Sparrow","Spizella breweri"
4198,"05630","Field Sparrow","Spizella pusilla"
4201,"05640","Worthen's Sparrow","Spizella wortheni"
4204,"05650","Black-chinned Sparrow","Spizella atrogularis"
4207,"05400","Vesper Sparrow","Pooecetes gramineus"
4210,"05520","Lark Sparrow","Chondestes grammacus"
4213,"05742","Five-striped Sparrow","Amphispiza quinquestriata"
4216,"05730","Black-throated Sparrow","Amphispiza bilineata"
4219,"05740","Sage Sparrow","Amphispiza belli"
4222,"06050","Lark Bunting","Calamospiza melanocorys"
4225,"05420","Savannah Sparrow","Passerculus sandwichensis"
4228,"05460","Grasshopper Sparrow","Ammodramus savannarum"
4231,"05450","Baird's Sparrow","Ammodramus bairdii"
4234,"05470","Henslow's Sparrow","Ammodramus henslowii"
4237,"05480","Le Conte's Sparrow","Ammodramus leconteii"
4240,"05491","Nelson's Sparrow","Ammodramus nelsoni"
4243,"05490","Saltmarsh Sparrow","Ammodramus caudacutus"
4246,"05492","unid. Nelson's Sparrow / Saltmarsh Sparrow","Ammodramus nelsoni / caudacutus"
4249,"05500","Seaside Sparrow","Ammodramus maritimus"
4252,"19110","Sierra Madre Sparrow","Xenospiza baileyi"
4255,"05850","Fox Sparrow","Passerella iliaca"
4267,"05810","Song Sparrow","Melospiza melodia"
4270,"05830","Lincoln's Sparrow","Melospiza lincolnii"
4273,"05840","Swamp Sparrow","Melospiza georgiana"
4276,"19120","Rufous-collared Sparrow","Zonotrichia capensis"
4279,"05580","White-throated Sparrow","Zonotrichia albicollis"
4282,"05530","Harris's Sparrow","Zonotrichia querula"
4285,"05540","White-crowned Sparrow","Zonotrichia leucophrys"
4288,"05570","Golden-crowned Sparrow","Zonotrichia atricapilla"
4291,"05670","(Slate-colored Junco) Dark-eyed Junco","Junco hyemalis hyemalis"
4294,"05671","(Oregon Junco) Dark-eyed Junco","Junco hyemalis oreganus"
4297,"05680","(Pink-sided Junco) Dark-eyed Junco","Junco hyemalis mearnsi"
4300,"05660","(White-winged Junco) Dark-eyed Junco","Junco hyemalis aikeni"
4303,"05690","(Gray-headed Junco) Dark-eyed Junco","Junco hyemalis caniceps"
4306,"05720","(Guadalupe Junco) Dark-eyed Junco","Junco hyemalis insularis"
4309,"05677","(unid. race) Dark-eyed Junco","Junco hyemalis"
4312,"05700","Yellow-eyed Junco","Junco phaeonotus"
4315,"18420","Common Bush-Tanager","Chlorospingus ophthalmicus"
4327,"05351","Rustic Bunting","Emberiza rustica"
4345,"18290","Rose-throated Tanager","Piranga roseogularis"
4348,"06090","Hepatic Tanager","Piranga flava"
4351,"06100","Summer Tanager","Piranga rubra"
4354,"06080","Scarlet Tanager","Piranga olivacea"
4357,"06070","Western Tanager","Piranga ludoviciana"
4360,"06071","Flame-colored Tanager","Piranga bidentata"
4363,"18310","White-winged Tanager","Piranga leucoptera"
4366,"18320","Red-headed Tanager","Piranga erythrocephala"
4369,"18260","Red-crowned Ant-Tanager","Habia rubica"
4372,"18270","Red-throated Ant-Tanager","Habia fuscicauda"
4375,"18570","Black-faced Grosbeak","Caryothraustes poliogaster"
4378,"05941","Crimson-collared Grosbeak","Rhodothraupis celaeno"
4381,"05930","Northern Cardinal","Cardinalis cardinalis"
4384,"05940","Pyrrhuloxia","Cardinalis sinuatus"
4387,"05935","unid. Northern Cardinal / Pyrrhuloxia","Cardinalis cardinalis / sinuatus"
4390,"05961","Yellow Grosbeak","Pheucticus chrysopeplus"
4393,"05950","Rose-breasted Grosbeak","Pheucticus ludovicianus"
4396,"05960","Black-headed Grosbeak","Pheucticus melanocephalus"
4399,"17750","Red-breasted Chat","Granatellus venustus"
4402,"17760","Gray-throated Chat","Granatellus sallaei"
4405,"18880","Blue Seedeater","Amaurospiza concolor"
4408,"18600","Blue-black Grosbeak","Cyanocompsa cyanoides"
4411,"05971","Blue Bunting","Cyanocompsa parellina"
4414,"05970","Blue Grosbeak","Passerina caerulea"
4417,"05990","Lazuli Bunting","Passerina amoena"
4420,"05980","Indigo Bunting","Passerina cyanea"
4423,"05986","hybrid Lazuli Bunting x Indigo Bunting","Passerina amoena x cyanea"
4426,"18610","Rose-bellied Bunting","Passerina rositae"
4429,"18620","Orange-breasted Bunting","Passerina leclancherii"
4432,"06000","Varied Bunting","Passerina versicolor"
4435,"06010","Painted Bunting","Passerina ciris"
4438,"06040","Dickcissel","Spiza americana"
4441,"04940","Bobolink","Dolichonyx oryzivorus"
4444,"04980","Red-winged Blackbird","Agelaius phoeniceus"
4447,"05000","Tricolored Blackbird","Agelaius tricolor"
4450,"05001","Tawny-shouldered Blackbird","Agelaius humeralis"
4453,"19140","Yellow-shouldered Blackbird","Agelaius xanthomus"
4456,"05010","Eastern Meadowlark","Sturnella magna"
4459,"05011","Western Meadowlark","Sturnella neglecta"
4462,"05012","unid. Eastern Meadowlark / Western Meadowlark","Sturnella magna / neglecta"
4465,"04970","Yellow-headed Blackbird","Xanthocephalus xanthocephalus"
4468,"19170","Melodious Blackbird","Dives dives"
4471,"05090","Rusty Blackbird","Euphagus carolinus"
4474,"05100","Brewer's Blackbird","Euphagus cyanocephalus"
4477,"05110","Common Grackle","Quiscalus quiscula"
4480,"05130","Boat-tailed Grackle","Quiscalus major"
4483,"05120","Great-tailed Grackle","Quiscalus mexicanus"
4486,"05135","unid. Boat-tailed Grackle / Great-tailed Grackle","Quiscalus major / mexicanus"
4489,"19210","Greater Antillean Grackle","Quiscalus niger"
4492,"04961","Shiny Cowbird","Molothrus bonariensis"
4495,"04960","Bronzed Cowbird","Molothrus aeneus"
4498,"04950","Brown-headed Cowbird","Molothrus ater"
4501,"19240","Giant Cowbird","Molothrus oryzivorus"
4504,"04955","unid. Cowbird","Molothrus sp."
4507,"19250","Puerto Rican Oriole","Icterus portoricensis"
4510,"05041","Black-vented Oriole","Icterus wagleri"
4513,"19290","Bar-winged Oriole","Icterus maculialatus"
4516,"19251","Black-cowled Oriole","Icterus prosthemelas"
4519,"05060","Orchard Oriole","Icterus spurius"
4522,"05050","Hooded Oriole","Icterus cucullatus"
4525,"19300","Yellow-backed Oriole","Icterus chrysater"
4528,"19320","Yellow-tailed Oriole","Icterus mesomelas"
4531,"05020","Venezuelan Troupial","Icterus icterus"
4534,"05051","Streak-backed Oriole","Icterus pustulatus"
4537,"05080","Bullock's Oriole","Icterus bullockii"
4540,"19330","Orange Oriole","Icterus auratus"
4543,"05032","Spot-breasted Oriole","Icterus pectoralis"
4546,"05031","Altamira Oriole","Icterus gularis"
4549,"05030","Audubon's Oriole","Icterus graduacauda"
4552,"05070","Baltimore Oriole","Icterus galbula"
4555,"05078","hybrid Bullock's Oriole x Baltimore Oriole","Icterus bullockii x galbula"
4558,"05077","unid. Bullock's Oriole / Baltimore Oriole","Icterus bullockii / galbula"
4561,"19341","Black-backed Oriole","Icterus abeillei"
4564,"05040","Scott's Oriole","Icterus parisorum"
4567,"19350","Yellow-billed Cacique","Amblycercus holosericeus"
4570,"19380","Yellow-winged Cacique","Cacicus melanicterus"
4573,"19400","Chestnut-headed Oropendola","Psarocolius wagleri"
4576,"19410","Montezuma Oropendola","Psarocolius montezuma"
4579,"05143","Common Chaffinch","Fringilla coelebs"
4582,"05141","Brambling","Fringilla montifringilla"
4585,"18010","Scrub Euphonia","Euphonia affinis"
4588,"18040","Yellow-throated Euphonia","Euphonia hirundinacea"
4591,"18050","Antillean Euphonia","Euphonia musica"
4594,"06060","Elegant Euphonia","Euphonia elegantissima"
4597,"18080","Olive-backed Euphonia","Euphonia gouldi"
4600,"18090","White-vented Euphonia","Euphonia minuta"
4603,"17980","Blue-crowned Chlorophonia","Chlorophonia occipitalis"
4606,"05240","Gray-crowned Rosy-Finch","Leucosticte tephrocotis"
4609,"05250","Black Rosy-Finch","Leucosticte atrata"
4612,"05260","Brown-capped Rosy-Finch","Leucosticte australis"
4615,"05241","unid. Rosy-Finch","Leucosticte tephrocotis / atrata / australis"
4618,"05150","Pine Grosbeak","Pinicola enucleator"
4624,"05170","Purple Finch","Carpodacus purpureus"
4627,"05180","Cassin's Finch","Carpodacus cassinii"
4630,"05190","House Finch","Carpodacus mexicanus"
4633,"05195","unid. Purple Finch / Cassin's Finch / House Finch","Carpodacus purpureus / cassinii / mexicanus"
4636,"05210","Red Crossbill","Loxia curvirostra"
4639,"05220","White-winged Crossbill","Loxia leucoptera"
4642,"05225","unid. Red Crossbill / White-winged Crossbill","Loxia curvirostra / leucoptera"
4645,"05280","Common Redpoll","Acanthis flammea"
4648,"05270","Hoary Redpoll","Acanthis hornemanni"
4651,"05275","unid. Common Redpoll / Hoary Redpoll","Carduelis flammea / hornemanni"
4657,"05330","Pine Siskin","Spinus pinus"
4660,"19430","Black-capped Siskin","Spinus atriceps"
4663,"19440","Black-headed Siskin","Spinus notatus"
4666,"19460","Red Siskin","Spinus cucullatus"
4675,"05300","Lesser Goldfinch","Spinus psaltria"
4678,"05310","Lawrence's Goldfinch","Spinus lawrencei"
4681,"05290","American Goldfinch","Spinus tristis"
4687,"05262","Oriental Greenfinch","Chloris sinica"
4690,"05332","Yellow-fronted Canary","Serinus mozambicus"
4693,"05331","Common Canary","Serinus canaria"
4699,"19480","Hooded Grosbeak","Coccothraustes abeillei"
4702,"05140","Evening Grosbeak","Coccothraustes vespertinus"
4777,"06882","House Sparrow","Passer domesticus"
4780,"06883","Eurasian Tree Sparrow","Passer montanus"
4783,"19500","Orange Bishop","Euplectes franciscanus"
4786,"19510","Yellow-crowned Bishop","Euplectes afer"
4795,"08070","Orange-cheeked Waxbill","Estrilda melpoda"
4798,"08080","Black-rumped Waxbill","Estrilda troglodytes"
4804,"08090","Red Avadavat","Amandava amandava"
4807,"08100","Indian Silverbill","Lonchura malabarica"
4813,"19530","Bronze Mannikin","Lonchura cucullata"
4816,"08110","Nutmeg Mannikin","Lonchura punctulata"
4819,"81200","Tricolored Munia","Lonchura malacca"
4828,"08130","Java Sparrow","Padda oryzivora"
4831,"19540","Pin-tailed Whydah","Vidua macroura"
